id,name,code,geom
1,Mombasa,Mombasa,
2,Kwale,Kwale,
3,Kilifi,Kilifi,
4,Tana River,Tana River,
5,Lamu,Lamu,
6,Taita Taveta,Taita Taveta,
7,Garissa,Garissa,
8,Wajir,Wajir,
9,Mandera,Mandera,
10,Marsabit,Marsabit,
11,Isiolo,Isiolo,
12,Meru,Meru,
13,Tharaka-Nithi,Tharaka-Nithi,
14,Embu,Embu,
15,Kitui,Kitui,
16,Machakos,Machakos,
17,Makueni,Makueni,
18,Nyandarua,Nyandarua,
19,Nyeri,Nyeri,
20,Kirinyaga,Kirinyaga,
21,Murang'a,Muranga,
22,Kiambu,Kiambu,
23,Turkana,Turkana,
24,West Pokot,West Pokot,
25,Samburu,Samburu,
26,Trans Nzoia,Trans-Nzoia,
27,Uasin Gishu,Uasin Gishu,
28,Elgeyo-Marakwet,Elgeyo-Marakwet,
29,Nandi,Nandi,
30,Baringo,Baringo,
31,Laikipia,Laikipia,
32,Nakuru,Nakuru,
33,Narok,Narok,
34,Kajiado,Kajiado,
35,Kericho,Kericho,
36,Bomet,Bomet,
37,Kakamega,Kakamega,
38,Vihiga,Vihiga,
39,Bungoma,Bungoma,
40,Busia,Busia,
41,Siaya,Siaya,
42,Kisumu,Kisumu,
43,Homa Bay,Homa Bay,
44,Migori,Migori,
45,Kisii,Kisii,
46,Nyamira,Nyamira,
47,Nairobi,Nairobi,
