county_id,code,county,growth_rate_pct_2020,growth_rate_pct_2021,growth_rate_pct_2022,growth_rate_pct_2023,growth_rate_pct_2024,growth_rate_pct_2025,growth_rate_pct_2026,growth_rate_pct_2027,growth_rate_pct_2028,growth_rate_pct_2029,growth_rate_pct_2030,growth_rate_pct_2031,growth_rate_pct_2032,growth_rate_pct_2033,growth_rate_pct_2034,growth_rate_pct_2035,growth_rate_pct_2036,growth_rate_pct_2037,growth_rate_pct_2038,growth_rate_pct_2039,growth_rate_pct_2040
1,Mombasa,Mombasa,1.634152,2.274039,2.223477,2.175113,2.128809,2.084436,1.925092,1.925092,1.925092,1.925092,1.925092,1.678074,1.678074,1.678074,1.678074,1.678074,1.45656,1.45656,1.45656,1.45656,1.45656
2,Kwale,Kwale,1.413904,2.479422,2.419434,2.36228,2.307764,2.255708,2.39208,2.39208,2.39208,2.39208,2.39208,2.316482,2.316482,2.316482,2.316482,2.316482,2.136533,2.136533,2.136533,2.136533,2.136533
3,Kilifi,Kilifi,2.392716,1.987677,1.948872,1.911682,1.875759,1.841284,1.761343,1.761343,1.761343,1.761343,1.761343,1.603307,1.603307,1.603307,1.603307,1.603307,1.442318,1.442318,1.442318,1.442318,1.442318
4,Tana River,Tana River,3.142972,2.72867,2.656192,2.587464,2.521919,2.460159,2.5673,2.5673,2.5673,2.5673,2.5673,2.479449,2.479449,2.479449,2.479449,2.479449,2.310151,2.310151,2.310151,2.310151,2.310151
5,Lamu,Lamu,7.54169,2.704589,2.633367,2.5658,2.502211,2.440546,2.46501,2.46501,2.46501,2.46501,2.46501,2.336819,2.336819,2.336819,2.336819,2.336819,2.163859,2.163859,2.163859,2.163859,2.163859
6,Taita Taveta,Taita Taveta,2.918652,1.271769,1.255516,1.240227,1.224759,1.210211,1.134162,1.134162,1.134162,1.134162,1.134162,1.068669,1.068669,1.068669,1.068669,1.068669,0.999397,0.999397,0.999397,0.999397,0.999397
7,Garissa,Garissa,2.359057,2.547953,2.484646,2.424518,2.367019,2.312287,2.075158,2.075158,2.075158,2.075158,2.075158,1.778708,1.778708,1.778708,1.778708,1.778708,1.528499,1.528499,1.528499,1.528499,1.528499
8,Wajir,Wajir,2.895184,2.767944,2.693513,2.622748,2.555718,2.492141,2.548091,2.548091,2.548091,2.548091,2.548091,2.335467,2.335467,2.335467,2.335467,2.335467,2.054753,2.054753,2.054753,2.054753,2.054753
9,Mandera,Mandera,2.285185,2.703205,2.632165,2.564552,2.500532,2.439429,2.503899,2.503899,2.503899,2.503899,2.503899,2.295525,2.295525,2.295525,2.295525,2.295525,2.023744,2.023744,2.023744,2.023744,2.023744
10,Marsabit,Marsabit,4.305056,2.482177,2.422261,2.364776,2.310341,2.257979,2.302005,2.302005,2.302005,2.302005,2.302005,2.107787,2.107787,2.107787,2.107787,2.107787,1.837221,1.837221,1.837221,1.837221,1.837221
11,Isiolo,Isiolo,9.73948,2.474635,2.414544,2.357942,2.303624,2.251443,2.225322,2.225322,2.225322,2.225322,2.225322,2.064655,2.064655,2.064655,2.064655,2.064655,1.878824,1.878824,1.878824,1.878824,1.878824
12,Meru,Meru,1.274945,1.289557,1.273139,1.257134,1.241527,1.226363,1.158589,1.158589,1.158589,1.158589,1.158589,1.045163,1.045163,1.045163,1.045163,1.045163,0.917479,0.917479,0.917479,0.917479,0.917479
13,Tharaka-nithi,Tharaka-nithi,2.524308,1.098233,1.086303,1.074629,1.063444,1.052016,0.936988,0.936988,0.936988,0.936988,0.936988,0.816608,0.816608,0.816608,0.816608,0.816608,0.707127,0.707127,0.707127,0.707127,0.707127
14,Embu,Embu,3.274406,1.055325,1.044146,1.033512,1.022786,1.012584,0.903649,0.903649,0.903649,0.903649,0.903649,0.784662,0.784662,0.784662,0.784662,0.784662,0.678123,0.678123,0.678123,0.678123,0.678123
15,Kitui,Kitui,4.388274,1.229379,1.214532,1.199876,1.185731,1.171756,1.065434,1.065434,1.065434,1.065434,1.065434,0.924992,0.924992,0.924992,0.924992,0.924992,0.796976,0.796976,0.796976,0.796976,0.796976
16,Machakos,Machakos,1.391557,1.064424,1.053213,1.042304,1.031485,1.020954,0.85422,0.85422,0.85422,0.85422,0.85422,0.712658,0.712658,0.712658,0.712658,0.712658,0.591883,0.591883,0.591883,0.591883,0.591883
17,Makueni,Makueni,2.012245,1.150441,1.137356,1.124566,1.11206,1.099829,1.024912,1.024912,1.024912,1.024912,1.024912,0.939826,0.939826,0.939826,0.939826,0.939826,0.846011,0.846011,0.846011,0.846011,0.846011
18,Nyandarua,Nyandarua,2.956341,1.946409,1.909098,1.87348,1.838883,1.80582,1.669589,1.669589,1.669589,1.669589,1.669589,1.460959,1.460959,1.460959,1.460959,1.460959,1.272366,1.272366,1.272366,1.272366,1.272366
19,Nyeri,Nyeri,6.643492,1.062625,1.051452,1.040511,1.029796,1.0193,0.965535,0.965535,0.965535,0.965535,0.965535,0.852995,0.852995,0.852995,0.852995,0.852995,0.755988,0.755988,0.755988,0.755988,0.755988
20,Kirinyaga,Kirinyaga,4.378689,0.83561,0.828842,0.821874,0.815174,0.808583,0.784479,0.784479,0.784479,0.784479,0.784479,0.721187,0.721187,0.721187,0.721187,0.721187,0.644181,0.644181,0.644181,0.644181,0.644181
21,Murang'a,Murang'a,1.883328,1.106879,1.094762,1.082907,1.071305,1.05995,0.998079,0.998079,0.998079,0.998079,0.998079,0.902407,0.902407,0.902407,0.902407,0.902407,0.797189,0.797189,0.797189,0.797189,0.797189
22,Kiambu,Kiambu,3.443512,2.024398,1.98423,1.945624,1.908492,1.872714,1.766704,1.766704,1.766704,1.766704,1.766704,1.576132,1.576132,1.576132,1.576132,1.576132,1.416372,1.416372,1.416372,1.416372,1.416372
23,Turkana,Turkana,2.10232,2.687477,2.617245,2.550392,2.487062,2.426613,2.524798,2.524798,2.524798,2.524798,2.524798,2.333812,2.333812,2.333812,2.333812,2.333812,2.063747,2.063747,2.063747,2.063747,2.063747
24,West Pokot,West Pokot,1.590526,2.387494,2.331822,2.278687,2.22792,2.179365,2.31108,2.31108,2.31108,2.31108,2.31108,2.189842,2.189842,2.189842,2.189842,2.189842,1.978221,1.978221,1.978221,1.978221,1.978221
25,Samburu,Samburu,3.216285,2.912821,2.830378,2.752472,2.678741,2.608856,2.729542,2.729542,2.729542,2.729542,2.729542,2.553991,2.553991,2.553991,2.553991,2.553991,2.286558,2.286558,2.286558,2.286558,2.286558
26,Trans Nzoia,Trans Nzoia,2.011832,1.939194,1.902402,1.866791,1.83258,1.799601,1.580355,1.580355,1.580355,1.580355,1.580355,1.371234,1.371234,1.371234,1.371234,1.371234,1.206422,1.206422,1.206422,1.206422,1.206422
27,Uasin Gishu,Uasin Gishu,1.706004,2.093523,2.050593,2.009307,1.969809,1.931757,1.791079,1.791079,1.791079,1.791079,1.791079,1.598154,1.598154,1.598154,1.598154,1.598154,1.424248,1.424248,1.424248,1.424248,1.424248
28,Elgeyo-marakwet,Elgeyo-marakwet,4.387212,1.462842,1.441751,1.42126,1.401344,1.381977,1.257047,1.257047,1.257047,1.257047,1.257047,1.101084,1.101084,1.101084,1.101084,1.101084,0.930274,0.930274,0.930274,0.930274,0.930274
29,Nandi,Nandi,2.248815,1.686894,1.65891,1.631839,1.605638,1.580264,1.430095,1.430095,1.430095,1.430095,1.430095,1.245056,1.245056,1.245056,1.245056,1.245056,1.077225,1.077225,1.077225,1.077225,1.077225
30,Baringo,Baringo,2.992668,2.262795,2.212583,2.164827,2.118956,2.074987,1.912725,1.912725,1.912725,1.912725,1.912725,1.629746,1.629746,1.629746,1.629746,1.629746,1.3538,1.3538,1.3538,1.3538,1.3538
31,Laikipia,Laikipia,1.918582,2.063352,2.021453,1.981582,1.943078,1.906042,1.864493,1.864493,1.864493,1.864493,1.864493,1.701578,1.701578,1.701578,1.701578,1.701578,1.520321,1.520321,1.520321,1.520321,1.520321
32,Nakuru,Nakuru,1.832669,2.210618,2.162762,2.11702,2.073089,2.031027,1.925938,1.925938,1.925938,1.925938,1.925938,1.715243,1.715243,1.715243,1.715243,1.715243,1.509246,1.509246,1.509246,1.509246,1.509246
33,Narok,Narok,1.713919,3.013879,2.925702,2.842618,2.763969,2.689628,2.67048,2.67048,2.67048,2.67048,2.67048,2.390195,2.390195,2.390195,2.390195,2.390195,2.083737,2.083737,2.083737,2.083737,2.083737
34,Kajiado,Kajiado,5.449707,2.530967,2.46849,2.409024,2.352355,2.298291,2.124201,2.124201,2.124201,2.124201,2.124201,1.881889,1.881889,1.881889,1.881889,1.881889,1.670637,1.670637,1.670637,1.670637,1.670637
35,Kericho,Kericho,1.712175,1.36936,1.350862,1.33275,1.315326,1.29825,1.1383,1.1383,1.1383,1.1383,1.1383,0.988407,0.988407,0.988407,0.988407,0.988407,0.85294,0.85294,0.85294,0.85294,0.85294
36,Bomet,Bomet,2.951961,1.41325,1.393446,1.374404,1.35577,1.337635,1.136838,1.136838,1.136838,1.136838,1.136838,0.971321,0.971321,0.971321,0.971321,0.971321,0.824504,0.824504,0.824504,0.824504,0.824504
37,Kakamega,Kakamega,1.588206,1.848211,1.814672,1.782329,1.751118,1.720982,1.540408,1.540408,1.540408,1.540408,1.540408,1.323008,1.323008,1.323008,1.323008,1.323008,1.138296,1.138296,1.138296,1.138296,1.138296
38,Vihiga,Vihiga,3.37501,0.865679,0.858087,0.850947,0.843767,0.836707,0.743446,0.743446,0.743446,0.743446,0.743446,0.628103,0.628103,0.628103,0.628103,0.628103,0.543024,0.543024,0.543024,0.543024,0.543024
39,Bungoma,Bungoma,1.786277,1.696884,1.66857,1.641186,1.614686,1.589028,1.318345,1.318345,1.318345,1.318345,1.318345,1.097984,1.097984,1.097984,1.097984,1.097984,0.928858,0.928858,0.928858,0.928858,0.928858
40,Busia,Busia,2.228312,2.012817,1.97321,1.934922,1.898194,1.862935,1.72574,1.72574,1.72574,1.72574,1.72574,1.508869,1.508869,1.508869,1.508869,1.508869,1.306689,1.306689,1.306689,1.306689,1.306689
41,Siaya,Siaya,0.981592,1.878692,1.844048,1.810658,1.778362,1.747382,1.734874,1.734874,1.734874,1.734874,1.734874,1.595039,1.595039,1.595039,1.595039,1.595039,1.418346,1.418346,1.418346,1.418346,1.418346
42,Kisumu,Kisumu,2.646823,1.751113,1.720977,1.691942,1.663711,1.636485,1.496719,1.496719,1.496719,1.496719,1.496719,1.329798,1.329798,1.329798,1.329798,1.329798,1.181839,1.181839,1.181839,1.181839,1.181839
43,Homa Bay,Homa Bay,2.643491,2.002112,1.962814,1.92503,1.888672,1.853663,1.859273,1.859273,1.859273,1.859273,1.859273,1.711975,1.711975,1.711975,1.711975,1.711975,1.514722,1.514722,1.514722,1.514722,1.514722
44,Migori,Migori,2.755286,2.524588,2.462337,2.403246,2.346846,2.293032,2.255929,2.255929,2.255929,2.255929,2.255929,2.064591,2.064591,2.064591,2.064591,2.064591,1.854658,1.854658,1.854658,1.854658,1.854658
45,Kisii,Kisii,3.145651,0.974355,0.964953,0.95573,0.946683,0.937878,0.763445,0.763445,0.763445,0.763445,0.763445,0.613589,0.613589,0.613589,0.613589,0.613589,0.49476,0.49476,0.49476,0.49476,0.49476
46,Nyamira,Nyamira,6.599502,0.617621,0.61383,0.610085,0.606538,0.60273,0.510128,0.510128,0.510128,0.510128,0.510128,0.441137,0.441137,0.441137,0.441137,0.441137,0.376481,0.376481,0.376481,0.376481,0.376481
47,Nairobi,Nairobi,2.695748,1.730664,1.7012,1.672765,1.645223,1.618614,1.419923,1.419923,1.419923,1.419923,1.419923,1.227674,1.227674,1.227674,1.227674,1.227674,1.071793,1.071793,1.071793,1.071793,1.071793
