county_id,code,county,households_2019,households_2020,households_2021,households_2022,households_2023,households_2024,households_2025,households_2026,households_2027,households_2028,households_2029,households_2030,households_2031,households_2032,households_2033,households_2034,households_2035,households_2036,households_2037,households_2038,households_2039,households_2040,growth_rate_2020_percent,growth_rate_2021_percent,growth_rate_2022_percent,growth_rate_2023_percent,growth_rate_2024_percent,growth_rate_2025_percent,growth_rate_2026_percent,growth_rate_2027_percent,growth_rate_2028_percent,growth_rate_2029_percent,growth_rate_2030_percent,growth_rate_2031_percent,growth_rate_2032_percent,growth_rate_2033_percent,growth_rate_2034_percent,growth_rate_2035_percent,growth_rate_2036_percent,growth_rate_2037_percent,growth_rate_2038_percent,growth_rate_2039_percent,growth_rate_2040_percent,projection_method_2030_2040,data_note
1,Mombasa,Mombasa,378422,364949,380345,395637,410826,425913,440899,456098,471251,486362,501433,517601,532810,548264,563965,579915,596116,611250,626570,642076,657770,673653,-3.560311,4.218672,4.02056,3.839125,3.672358,3.518559,3.447275,3.322312,3.206571,3.098721,3.224359,2.938364,2.900471,2.863766,2.82819,2.793685,2.538768,2.506339,2.474743,2.444259,2.414674,Population projection growth + decaying household formation premium from 2026-2029,"2030-2040 are modelled extensions, not official KNBS household projections."
2,Kwale,Kwale,173176,169224,174894,180549,186191,191820,197435,204866,212275,219663,227031,235008,243009,251203,259594,268185,276981,285487,294174,303045,312104,321354,-2.282071,3.350589,3.233387,3.124913,3.02324,2.927223,3.76377,3.61651,3.480391,3.354229,3.513617,3.404565,3.371892,3.340326,3.309399,3.279825,3.070969,3.042871,3.015562,2.989325,2.963756,Population projection growth + decaying household formation premium from 2026-2029,"2030-2040 are modelled extensions, not official KNBS household projections."
3,Kilifi,Kilifi,298472,377236,388923,400729,412656,424706,436881,450595,464440,478422,492540,507332,521577,536034,550703,565587,580686,595068,609621,624347,639246,654320,26.389075,3.098061,3.035562,2.976326,2.920108,2.866689,3.13907,3.072604,3.010507,2.950951,3.003208,2.807826,2.771786,2.73658,2.702727,2.669616,2.476726,2.445603,2.415599,2.386333,2.358091,Population projection growth + decaying household formation premium from 2026-2029,"2030-2040 are modelled extensions, not official KNBS household projections."
4,Tana River,Tana River,68242,68470,70958,73456,75963,78480,81007,84308,87624,90957,94306,97917,101544,105268,109091,113015,117042,120976,125004,129128,133350,137672,0.334105,3.633708,3.520392,3.412927,3.313455,3.219929,4.074956,3.933197,3.803752,3.68196,3.829025,3.704158,3.667376,3.631683,3.596997,3.563244,3.361187,3.329586,3.299094,3.269624,3.241095,Population projection growth + decaying household formation premium from 2026-2029,"2030-2040 are modelled extensions, not official KNBS household projections."
5,Lamu,Lamu,37963,36007,37690,39382,41084,42797,44519,46542,48576,50619,52673,54903,57128,59413,61760,64170,66644,69068,71549,74089,76688,79347,-5.152385,4.674091,4.489254,4.321771,4.169506,4.023647,4.544127,4.370246,4.205781,4.057765,4.233668,4.052602,3.99979,3.950314,3.902202,3.855384,3.637237,3.592112,3.550015,3.507943,3.467296,Population projection growth + decaying household formation premium from 2026-2029,"2030-2040 are modelled extensions, not official KNBS household projections."
6,Taita Taveta,Taita Taveta,96429,105058,106665,108282,109910,111549,113199,115143,117099,119066,121044,123069,125027,126997,128978,130971,132976,134901,136836,138781,140736,142701,8.948553,1.529631,1.515961,1.503482,1.49122,1.479171,1.71733,1.698757,1.679775,1.661264,1.672945,1.590977,1.57566,1.559879,1.545225,1.530873,1.44763,1.434385,1.42141,1.408694,1.396231,Population projection growth + decaying household formation premium from 2026-2029,"2030-2040 are modelled extensions, not official KNBS household projections."
7,Garissa,Garissa,141394,166049,171757,177366,182877,188293,193616,199693,205656,211508,217250,223530,229274,235111,241043,247071,253196,258786,264447,270179,275984,281862,17.437091,3.43754,3.26566,3.107134,2.961553,2.826977,3.138687,2.986084,2.845528,2.714791,2.890679,2.569677,2.545862,2.523064,2.500799,2.479044,2.207776,2.187522,2.167542,2.148576,2.129834,Population projection growth + decaying household formation premium from 2026-2029,"2030-2040 are modelled extensions, not official KNBS household projections."
8,Wajir,Wajir,127932,132479,139768,146970,154087,161124,168081,176165,184119,191945,199648,208288,216748,225440,234367,243533,252942,261889,271036,280386,289941,299704,3.554232,5.502004,5.152825,4.842485,4.566901,4.317793,4.809586,4.515085,4.250512,4.013129,4.327617,4.061684,4.010187,3.959812,3.91096,3.863542,3.537175,3.492701,3.449726,3.407802,3.367237,Population projection growth + decaying household formation premium from 2026-2029,"2030-2040 are modelled extensions, not official KNBS household projections."
9,Mandera,Mandera,125763,141069,150450,159867,169326,178834,188396,198500,208527,218485,228378,239434,250358,261611,273197,285121,297389,309197,321293,333681,346363,359342,12.170511,6.649937,6.259222,5.916793,5.615204,5.346858,5.363171,5.051385,4.775401,4.528,4.841097,4.562426,4.494763,4.428713,4.364616,4.302735,3.970557,3.912069,3.855671,3.800636,3.747225,Population projection growth + decaying household formation premium from 2026-2029,"2030-2040 are modelled extensions, not official KNBS household projections."
10,Marsabit,Marsabit,77495,79026,82252,85438,88587,91699,94775,98534,102249,105352,109553,113739,117813,121980,126242,130601,135058,139248,143516,147862,152286,156790,1.975611,4.082201,3.873462,3.685714,3.512931,3.354453,3.966236,3.770272,3.034749,3.987584,3.820982,3.581885,3.536961,3.494015,3.452892,3.412684,3.102371,3.065035,3.028234,2.991979,2.957593,Population projection growth + decaying household formation premium from 2026-2029,"2030-2040 are modelled extensions, not official KNBS household projections."
