source_type,source_file,source_sheet,source_lot,external_county,external_subcounty,external_settlement,external_contract,effective_contract,external_financier,external_cluster,matched_settlement_id,matched_settlement_name,matched_settlement_code,settlement_match_method,settlement_match_score,matched_county_id,matched_subcounty_id,matched_project_id,matched_project_title,matched_project_code,project_match_method,project_match_score,project_location_id,comp11_titles_expected,comp11_population,comp11_lot,comp11_cluster,roads_km_planned,roads_km_achieved,drainage_km_planned,drainage_km_achieved,water_pipeline_km_planned,water_pipeline_km_achieved,water_connections_planned,water_connections_achieved,ablution_blocks_planned,ablution_blocks_achieved,highmast_lights_planned,highmast_lights_achieved,streetlights_planned,streetlights_achieved,vending_platforms_planned,vending_platforms_achieved,sewer_connections_planned,sewer_connections_achieved,water_kiosks_planned,water_kiosks_achieved,footpaths_km_planned,footpaths_km_achieved,roads_km_indicator_name,roads_km_category_title,roads_km_activity_code,drainage_km_indicator_name,drainage_km_category_title,drainage_km_activity_code,water_pipeline_km_indicator_name,water_pipeline_km_category_title,water_pipeline_km_activity_code,water_connections_indicator_name,water_connections_category_title,water_connections_activity_code,ablution_blocks_indicator_name,ablution_blocks_category_title,ablution_blocks_activity_code,highmast_lights_indicator_name,highmast_lights_category_title,highmast_lights_activity_code,streetlights_indicator_name,streetlights_category_title,streetlights_activity_code,vending_platforms_indicator_name,vending_platforms_category_title,vending_platforms_activity_code,sewer_connections_indicator_name,sewer_connections_category_title,sewer_connections_activity_code,water_kiosks_indicator_name,water_kiosks_category_title,water_kiosks_activity_code,footpaths_km_indicator_name,footpaths_km_category_title,footpaths_km_activity_code,keep,match_notes
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kisumu,,Bandani,Kisumu Lot 1 Phase 1 RFB,Kisumu Lot 1 Phase 1 RFB,IDA,KISUMU KAKAMEGA,173,Bandani,sett164,exact,100,42,,42,Infrastructure upgrading  In Kisumu Lot 1,KE-KISUMU COUNTY-362227-CW-RFB - 2,county_lot_infra,110,,,,,,2.584,0.93,5.368,5.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.168,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kisumu,,Nyawita,Kisumu Lot 1 Phase 1 RFB,Kisumu Lot 1 Phase 1 RFB,IDA,KISUMU KAKAMEGA,176,Nyawita,sett170,exact,100,42,,42,Infrastructure upgrading  In Kisumu Lot 1,KE-KISUMU COUNTY-362227-CW-RFB - 2,county_lot_infra,110,,,,,,0.869,0.8,0.869,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kisumu,,Migosi,Kisumu Lot 1 Phase 1 RFB,Kisumu Lot 1 Phase 1 RFB,IDA,KISUMU KAKAMEGA,178,Migosi,sett169,exact,100,42,,42,Infrastructure upgrading  In Kisumu Lot 1,KE-KISUMU COUNTY-362227-CW-RFB - 2,county_lot_infra,110,,,,,,0,0,4.043,1.875,0,0,0,0,0,0,3,0,0,0,0,0,40,0,0,0,0,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kisumu,,Manyatta A,Kisumu Lot 1 Phase 1 RFB,Kisumu Lot 1 Phase 1 RFB,IDA,KISUMU KAKAMEGA,174,Manyatta (Kona Mbaya),sett167,exact,100,42,,42,Infrastructure upgrading  In Kisumu Lot 1,KE-KISUMU COUNTY-362227-CW-RFB - 2,county_lot_infra,110,,,,,,2.498,2.498,4.553,2.95,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4.553,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kisumu,,Manyatta B,Kisumu Lot 1 Phase 1 RFB,Kisumu Lot 1 Phase 1 RFB,IDA,KISUMU KAKAMEGA,175,Manyatta B,sett168,exact,100,42,,42,Infrastructure upgrading  In Kisumu Lot 1,KE-KISUMU COUNTY-362227-CW-RFB - 2,county_lot_infra,110,,,,,,4.091,4.091,7.065,4.105,1.44,0,46,0,0,0,0,0,0,0,0,0,200,0,2,0,7.065,0.975,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kisumu,,Kibuye,Kisumu Lot 2 Phase 1 RFB,Kisumu Lot 2 Phase 1 RFB,AFD,KISUMU KAKAMEGA,172,Kibuye,sett166,exact,100,42,,43,Infrastructure upgrading  In Kisumu Lot 2,KE-NAIROBI COUNTY-377334-CW-RFB - 1,county_lot_infra,110,,,,,,0.681,0.681,1.3599999999999999,1.36,0.89,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1.362,1.362,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kisumu,,Shauri Moyo,Kisumu Lot 2 Phase 1 RFB,Kisumu Lot 2 Phase 1 RFB,AFD,KISUMU KAKAMEGA,65,Shauri Moyo,settment_77,exact,100,42,,43,Infrastructure upgrading  In Kisumu Lot 2,KE-NAIROBI COUNTY-377334-CW-RFB - 1,county_lot_infra,110,,,,,,0,0,0,0,1.71,1.07,55,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kisumu,,Shauri Yako,Kisumu Lot 2 Phase 1 RFB,Kisumu Lot 2 Phase 1 RFB,AFD,KISUMU KAKAMEGA,64,Shauri Yako(Kisumu),settment_75,fuzzy,108,42,,43,Infrastructure upgrading  In Kisumu Lot 2,KE-NAIROBI COUNTY-377334-CW-RFB - 1,county_lot_infra,110,,,,,,1.069,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.138,,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kisumu,,Swahili/ Sangoro,Kisumu Lot 2 Phase 1 RFB,Kisumu Lot 2 Phase 1 RFB,AFD,KISUMU KAKAMEGA,177,Sang'oro,sett173,exact,100,42,,43,Infrastructure upgrading  In Kisumu Lot 2,KE-NAIROBI COUNTY-377334-CW-RFB - 1,county_lot_infra,110,,,,,,0,0,0,0,0.8,0.5,107,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kisumu,,Bondeni,Kisumu Lot 2 Phase 1 RFB,Kisumu Lot 2 Phase 1 RFB,AFD,KISUMU KAKAMEGA,61,Bondeni (Kisumu),settment_73,fuzzy,108,42,,43,Infrastructure upgrading  In Kisumu Lot 2,KE-NAIROBI COUNTY-377334-CW-RFB - 1,county_lot_infra,110,,,,,,0,0,1.449,0.748,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,no project_location link
