a_id,lefft,b_id,rright,county_id,overlap_sqkm
951,Jeza B1,952,Jeza B2,2,0.00
128,Rusinga Old Town,512,Nyagina ,43,0.10
29,Kaango Mosquito,713,Kunda kindu,15,0.00
29,Kaango Mosquito,714,Mosquito,15,0.08
29,Kaango Mosquito,711,Mjini,15,0.00
13,Kibokoni M17E,14,M26 Kibokoni,3,0.03
13,Kibokoni M17E,148,M27,3,0.00
205,Kibundani,956,Basra(Mombasa),1,0.00
205,Kibundani,633,Vyemani,1,0.36
206,Kikambala,631,Mweza Mtongwe,1,0.11
1295,Mwakingali A Embakasi,1296,Mlekenyi,6,0.00
246,Jua Kali,872,Bora Imani,4,0.00
397,Silanga,1569,Silanga village-kibra,47,0.04
1503,Bandarini,1529,Muoroto Simitini,1,0.00
261,Napetet,733,Napetet (Mission A+B+C),23,0.08
1750,Kamagar,1753,Nyamasare,41,0.06
1540,Donholm_Mukuru Viwandani,1545,Riverside - Mukuru Viwandani,47,0.00
1540,Donholm_Mukuru Viwandani,1618,Milimani - Mukuru Viwandani,47,0.00
374,Kaloleni,1205,Makongeni (Val),47,0.01
374,Kaloleni,1315,Agare Village,47,0.00
300,Bins-Mukuru Kwa Reuben,1638,Kariobangi- Mukuru Kwa Reuben,47,0.00
300,Bins-Mukuru Kwa Reuben,1625,Gatoto-mukuru kwa reuben,47,0.00
300,Bins-Mukuru Kwa Reuben,1652,Feed the children mukuru kwa reuben,47,0.00
328,Sofia Kati,1287,Upper Sofia,6,0.00
360,Mathare 3C,1602,Mathare 3A/Bondeni,47,0.00
360,Mathare 3C,367,Mathare No.10,47,0.00
354,Kwa Kariuki,372,Mabatini,47,0.00
565,Kalahari,1492,Mathare (Chaani),1,0.00
357,Mlango Kubwa,1324,Mathare Kiamutisya,47,0.00
492,Kuon Gi Dek,1750,Kamagar,41,0.06
492,Kuon Gi Dek,1753,Nyamasare,41,0.10
1604,Gitathuru A,1605,Grogon A- Korogocho,47,0.00
1604,Gitathuru A,1606,Grogon B - Korogocho,47,0.00
621,Jamvi La Wageni,622,Bofu,1,0.00
1612,RAP,1613,Mukuru Kwa Reuben-Railway,47,0.00
1612,RAP,1628,Wesinya_mukuru kwa Reuben,47,0.00
8,Mwatate,9,Chaani,1,0.00
10,Kwa Hakatsa,587,Jitoni/Bawazir,1,0.00
210,Ngunyumu village,1604,Gitathuru A,47,0.00
210,Ngunyumu village,1606,Grogon B - Korogocho,47,0.00
210,Ngunyumu village,1634,Gitathuru Ngomongo- Korogocho,47,0.00
245,Mwangaza,957,Ghala,4,0.00
