id,deleted,reason
719,no,delete failed
703,no,delete failed
670,yes,
568,no,delete failed
482,yes,
477,yes,
475,no,delete failed
474,no,delete failed
473,no,delete failed
472,no,delete failed
471,no,delete failed
468,no,delete failed
467,yes,
466,no,delete failed
464,no,delete failed
460,no,delete failed
458,yes,
456,yes,
455,no,delete failed
450,yes,
449,no,delete failed
448,no,delete failed
447,no,delete failed
446,yes,
435,no,delete failed
431,no,delete failed
429,yes,
427,no,delete failed
425,yes,
424,no,delete failed
422,no,delete failed
421,no,delete failed
420,no,delete failed
417,yes,
415,no,delete failed
414,no,delete failed
413,no,delete failed
407,no,delete failed
406,no,delete failed
405,no,delete failed
403,no,delete failed
402,no,delete failed
401,no,delete failed
400,no,delete failed
395,no,delete failed
394,no,delete failed
393,yes,
392,no,delete failed
391,no,delete failed
385,yes,
384,yes,
381,yes,
380,no,delete failed
370,yes,
362,no,delete failed
359,yes,
356,no,delete failed
353,no,delete failed
350,yes,
347,no,delete failed
344,no,delete failed
341,no,delete failed
297,no,delete failed
200,no,delete failed
198,no,delete failed
0,no,delete failed
