id,name,deleted,reason
719,Kisumu ndogo,no,delete failed
703,Kariobangi,no,delete failed
568,Mathare,no,delete failed
475,Kya'ngombe,no,delete failed
474,Mukuru kwa Njenga,no,delete failed
473,Embakasi Sokoni,no,delete failed
472,Mohra Moldana,no,delete failed
471,Maili saba,no,delete failed
468,Mukuru Sisal,no,delete failed
466,Kariobangi light industries,no,delete failed
464,Nyayo,no,delete failed
460,Highridge,no,delete failed
455,Stage 29/30,no,delete failed
449,Kamae village,no,delete failed
448,Shape corner,no,delete failed
447,Githurai majengo,no,delete failed
435,Kasarani,no,delete failed
431,Eastleigh/ Mukunda,no,delete failed
427,Gikomba,no,delete failed
424,Gachui,no,delete failed
422,kaburi,no,delete failed
421,Kandatu,no,delete failed
420,kirugi/Murio mbogo,no,delete failed
415,wanyee close,no,delete failed
414,Kongo,no,delete failed
413,Kawangware,no,delete failed
407,Maragoli,no,delete failed
406,Southlands,no,delete failed
405,Bangladesh,no,delete failed
403,Kisumu Ndogo,no,delete failed
402,Makina,no,delete failed
401,Gatwikira,no,delete failed
400,Lindi,no,delete failed
395,Laini Saba,no,delete failed
394,Quarry/ Raila estate,no,delete failed
392,Plot 10,no,delete failed
391,Mtumba,no,delete failed
385,Maziwa,no,delete failed
381,Maasai XX,no,delete failed
380,Kanaro,no,delete failed
362,Mathare 3A,no,delete failed
356,Grogon Huruma,no,delete failed
353,Kosovo,no,delete failed
347,Bondeni,no,delete failed
344,Suswa,no,delete failed
341,Ndumboini,no,delete failed
297,Nairobi,no,delete failed
200,Majengo,no,delete failed
198,Soko Mjinga,no,delete failed
0,Fremo-orig2,no,delete failed
